epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1626.01,0.09273,0.74085,0.31142,0.82738,0.7644,0.84278,0.45846,0.09522,0.69347,0.31323,0.00510828,0.00510828,0.00510828
55,1655.67,0.09298,0.72525,0.31196,0.88695,0.79786,0.88044,0.49908,0.0909,0.65017,0.30516,0.00506863,0.00506863,0.00506863
56,1685.1,0.0922,0.73105,0.31252,0.84418,0.78404,0.86122,0.5114,0.09256,0.65888,0.30243,0.00502898,0.00502898,0.00502898
57,1715.27,0.0921,0.7299,0.31076,0.83968,0.81516,0.86869,0.51065,0.08754,0.66701,0.29533,0.00498932,0.00498932,0.00498932
58,1744.77,0.09236,0.73338,0.30812,0.87403,0.75462,0.84857,0.49537,0.08934,0.69322,0.29542,0.00494966,0.00494966,0.00494966
59,1774.65,0.09272,0.71558,0.31379,0.84301,0.81049,0.85666,0.49397,0.09116,0.67386,0.30621,0.00491001,0.00491001,0.00491001
60,1805.1,0.09195,0.70637,0.30994,0.76288,0.69711,0.75453,0.37352,0.10867,0.83299,0.35392,0.00487036,0.00487036,0.00487036
61,1834.61,0.09195,0.7096,0.31075,0.86623,0.82306,0.89512,0.53968,0.08659,0.63592,0.29252,0.0048307,0.0048307,0.0048307
62,1864.2,0.09005,0.7095,0.30374,0.82071,0.72525,0.82791,0.50048,0.08888,0.69872,0.29737,0.00479104,0.00479104,0.00479104
63,1895.63,0.09128,0.7027,0.30773,0.86193,0.80456,0.87076,0.514,0.08847,0.63257,0.29464,0.00475139,0.00475139,0.00475139
64,1925.12,0.09136,0.71479,0.30816,0.8465,0.79841,0.86704,0.50178,0.08828,0.65645,0.29502,0.00471173,0.00471173,0.00471173
65,1954.51,0.09141,0.68369,0.30731,0.86459,0.76125,0.86782,0.4843,0.09562,0.67775,0.31025,0.00467208,0.00467208,0.00467208
66,1984.52,0.08967,0.68986,0.30387,0.90034,0.83943,0.90394,0.56683,0.08305,0.5778,0.2823,0.00463242,0.00463242,0.00463242
67,2014.55,0.08889,0.67813,0.30159,0.87398,0.71578,0.80429,0.48054,0.09415,0.76133,0.30846,0.00459277,0.00459277,0.00459277
68,2044.02,0.08867,0.67624,0.30109,0.90645,0.86798,0.92721,0.56909,0.08211,0.58634,0.28292,0.00455311,0.00455311,0.00455311
69,2073.44,0.08924,0.68149,0.30536,0.91574,0.85557,0.91331,0.54732,0.08437,0.57653,0.28711,0.00451346,0.00451346,0.00451346
70,2103.74,0.08831,0.68133,0.30278,0.86013,0.8446,0.89003,0.52139,0.08649,0.6401,0.2977,0.00447381,0.00447381,0.00447381
71,2133.19,0.08813,0.64737,0.30168,0.87259,0.7824,0.8824,0.5486,0.08499,0.60212,0.29053,0.00443415,0.00443415,0.00443415
72,2162.83,0.08845,0.67206,0.30166,0.88938,0.86311,0.90619,0.55264,0.0842,0.58859,0.28985,0.0043945,0.0043945,0.0043945
73,2193.23,0.08828,0.66337,0.30094,0.87686,0.87666,0.92189,0.57807,0.08344,0.54804,0.28073,0.00435484,0.00435484,0.00435484
74,2223.41,0.0873,0.65672,0.30082,0.89993,0.86198,0.91096,0.5367,0.08699,0.57807,0.29244,0.00431519,0.00431519,0.00431519
75,2253.06,0.08905,0.66412,0.30509,0.90741,0.853,0.9151,0.55834,0.08454,0.58386,0.28889,0.00427553,0.00427553,0.00427553
76,2282.67,0.08679,0.64933,0.29751,0.88379,0.8062,0.8949,0.55996,0.08354,0.61336,0.28339,0.00423587,0.00423587,0.00423587
77,2312.67,0.08727,0.64479,0.29892,0.90217,0.87172,0.90768,0.5567,0.08525,0.5657,0.29354,0.00419622,0.00419622,0.00419622
78,2342.05,0.08657,0.63079,0.30061,0.93158,0.87701,0.94291,0.60907,0.08133,0.5314,0.27942,0.00415657,0.00415657,0.00415657
79,2371.57,0.08689,0.64616,0.301,0.93743,0.85938,0.93536,0.57937,0.08231,0.54548,0.28022,0.00411691,0.00411691,0.00411691
80,2401.96,0.08726,0.63501,0.29718,0.88069,0.85548,0.9045,0.54274,0.08404,0.59483,0.28564,0.00407726,0.00407726,0.00407726
81,2431.49,0.08529,0.63047,0.29307,0.89798,0.87738,0.92877,0.59677,0.08025,0.5377,0.27615,0.0040376,0.0040376,0.0040376
82,2460.91,0.08607,0.63207,0.2953,0.90081,0.8456,0.93382,0.5831,0.08047,0.54666,0.27745,0.00399795,0.00399795,0.00399795
83,2490.56,0.08574,0.61748,0.29811,0.91507,0.89298,0.94256,0.57216,0.08396,0.53724,0.28846,0.00395829,0.00395829,0.00395829
84,2520.71,0.08623,0.61682,0.30036,0.89941,0.86427,0.92647,0.59,0.08128,0.5345,0.27849,0.00391864,0.00391864,0.00391864
85,2550.28,0.08499,0.61132,0.29326,0.87991,0.84996,0.90823,0.5534,0.08646,0.56482,0.29474,0.00387898,0.00387898,0.00387898
86,2579.73,0.08576,0.6152,0.29728,0.92054,0.88198,0.93865,0.60356,0.08078,0.52075,0.27875,0.00383932,0.00383932,0.00383932
87,2609.86,0.08492,0.6063,0.29316,0.89777,0.8661,0.9287,0.59761,0.08005,0.52514,0.27238,0.00379967,0.00379967,0.00379967
88,2639.26,0.08274,0.60182,0.29056,0.9199,0.87771,0.93228,0.59872,0.08044,0.52722,0.27428,0.00376001,0.00376001,0.00376001
89,2668.72,0.08459,0.60308,0.29119,0.9435,0.88913,0.94283,0.58259,0.08106,0.52498,0.27999,0.00373964,0.00373964,0.00373964
90,2699.01,0.08409,0.61785,0.29293,0.9177,0.8923,0.94693,0.59757,0.08208,0.51828,0.27903,0.0037002,0.0037002,0.0037002
91,2728.53,0.0832,0.59775,0.28981,0.91704,0.89681,0.94211,0.61021,0.07951,0.49866,0.27433,0.00366077,0.00366077,0.00366077
92,2758.64,0.08281,0.59346,0.28738,0.92194,0.8609,0.93399,0.60234,0.07892,0.50633,0.27385,0.00362133,0.00362133,0.00362133
93,2788.45,0.08203,0.57111,0.28605,0.92611,0.89131,0.94946,0.61427,0.07936,0.49876,0.27456,0.0035819,0.0035819,0.0035819
94,2818.05,0.0827,0.58087,0.28852,0.9294,0.9097,0.95015,0.62994,0.07904,0.47759,0.27427,0.00354246,0.00354246,0.00354246
95,2847.47,0.08221,0.58492,0.28939,0.93291,0.87804,0.9451,0.62107,0.07818,0.50861,0.26964,0.00350302,0.00350302,0.00350302
96,2876.73,0.08118,0.57217,0.28433,0.92682,0.88771,0.9358,0.59548,0.07962,0.50247,0.2799,0.00346359,0.00346359,0.00346359
97,2906.9,0.08226,0.57842,0.28724,0.91621,0.89938,0.94603,0.5907,0.08167,0.49325,0.28291,0.00342415,0.00342415,0.00342415
98,2936.45,0.08121,0.56851,0.2869,0.94424,0.89156,0.95079,0.60651,0.07904,0.48867,0.27863,0.00338472,0.00338472,0.00338472
99,2966.17,0.08095,0.56997,0.28548,0.9383,0.89529,0.93878,0.61858,0.07808,0.49358,0.27674,0.00334528,0.00334528,0.00334528
100,2996.45,0.08115,0.57172,0.2873,0.92611,0.90103,0.93941,0.60909,0.07867,0.5049,0.27721,0.00330584,0.00330584,0.00330584
101,3026.3,0.08148,0.56118,0.28809,0.90911,0.87532,0.93865,0.6047,0.07968,0.51051,0.28001,0.00326641,0.00326641,0.00326641
102,3056.02,0.08212,0.56654,0.28947,0.93161,0.89747,0.95457,0.62493,0.07791,0.48984,0.26992,0.00322697,0.00322697,0.00322697
103,3086.01,0.07974,0.55314,0.28371,0.93334,0.91696,0.95639,0.63716,0.07673,0.46962,0.26725,0.00318754,0.00318754,0.00318754
104,3115.82,0.0806,0.56849,0.28625,0.90529,0.89242,0.93903,0.60765,0.07998,0.50614,0.27681,0.0031481,0.0031481,0.0031481
105,3146.34,0.07995,0.548,0.28503,0.917,0.91505,0.95827,0.62818,0.07748,0.46632,0.27037,0.00310867,0.00310867,0.00310867
106,3175.5,0.07932,0.55046,0.27961,0.93254,0.89567,0.94752,0.62304,0.07587,0.48579,0.26615,0.00306923,0.00306923,0.00306923
107,3206.16,0.08276,0.5607,0.28881,0.92068,0.89185,0.93969,0.60487,0.0803,0.47771,0.28202,0.00302979,0.00302979,0.00302979
108,3235.63,0.07921,0.55331,0.27974,0.9422,0.91369,0.95491,0.62461,0.07735,0.46169,0.27327,0.00299036,0.00299036,0.00299036
109,3264.83,0.07972,0.53457,0.28134,0.90865,0.91036,0.94966,0.63439,0.07612,0.46213,0.2668,0.00295092,0.00295092,0.00295092
110,3294.77,0.07962,0.54707,0.2776,0.94956,0.87673,0.9437,0.62551,0.07578,0.47551,0.26461,0.00291149,0.00291149,0.00291149
111,3323.9,0.07786,0.53053,0.27842,0.94456,0.90229,0.96004,0.64377,0.0744,0.4589,0.26307,0.00287205,0.00287205,0.00287205
112,3353.25,0.07562,0.52907,0.27649,0.91521,0.92564,0.95465,0.64229,0.07481,0.45403,0.26255,0.00283261,0.00283261,0.00283261
113,3383.85,0.07863,0.53727,0.27903,0.92592,0.90603,0.95596,0.63556,0.07635,0.45571,0.26908,0.00279318,0.00279318,0.00279318
114,3413.43,0.076,0.52185,0.2736,0.95201,0.89014,0.95114,0.61158,0.07849,0.46525,0.27444,0.00275374,0.00275374,0.00275374
115,3442.6,0.07573,0.51768,0.27341,0.93604,0.89693,0.95336,0.62794,0.0769,0.457,0.26954,0.00271431,0.00271431,0.00271431
116,3471.79,0.07638,0.51336,0.27516,0.91952,0.93296,0.95976,0.63492,0.07652,0.44786,0.26983,0.00267487,0.00267487,0.00267487
117,3501.91,0.076,0.51745,0.27576,0.95349,0.92616,0.96486,0.64192,0.07381,0.43904,0.26421,0.00263543,0.00263543,0.00263543
118,3531.01,0.07625,0.52131,0.27216,0.95336,0.91962,0.96125,0.6452,0.07409,0.44718,0.26327,0.002596,0.002596,0.002596
119,3560.45,0.07675,0.50977,0.27466,0.93325,0.92726,0.96242,0.65377,0.07364,0.43235,0.26444,0.00255656,0.00255656,0.00255656
120,3590.5,0.07636,0.51635,0.27423,0.93373,0.92903,0.95634,0.64408,0.07435,0.44692,0.26471,0.00251713,0.00251713,0.00251713
121,3619.99,0.07439,0.50366,0.26993,0.94527,0.91093,0.95973,0.64887,0.07289,0.43419,0.26191,0.00247769,0.00247769,0.00247769
122,3649.89,0.07483,0.50041,0.26956,0.94769,0.92303,0.96126,0.64893,0.07285,0.42841,0.26247,0.00243825,0.00243825,0.00243825
123,3679.6,0.07447,0.50464,0.27155,0.95782,0.92876,0.96039,0.65172,0.07431,0.42638,0.26138,0.00239882,0.00239882,0.00239882
124,3710.2,0.0761,0.50714,0.27329,0.95726,0.92413,0.9669,0.65505,0.07373,0.4226,0.26469,0.00235938,0.00235938,0.00235938
125,3739.39,0.07504,0.49094,0.26942,0.94794,0.92611,0.96123,0.63546,0.07542,0.43332,0.26742,0.00231995,0.00231995,0.00231995
126,3768.65,0.07513,0.49118,0.27206,0.94599,0.92391,0.96125,0.65261,0.07297,0.42711,0.26256,0.00228051,0.00228051,0.00228051
127,3798.8,0.07444,0.48628,0.26866,0.94655,0.91442,0.96394,0.65616,0.07307,0.42553,0.25931,0.00224108,0.00224108,0.00224108
128,3827.88,0.07335,0.48053,0.26818,0.94368,0.92319,0.96195,0.65843,0.07289,0.41634,0.26387,0.00220164,0.00220164,0.00220164
129,3857.23,0.07342,0.47705,0.26976,0.93127,0.92857,0.96829,0.65269,0.07248,0.41241,0.26352,0.0021622,0.0021622,0.0021622
130,3887.5,0.0728,0.48114,0.26858,0.95629,0.92966,0.96433,0.66639,0.07171,0.40974,0.26373,0.00212277,0.00212277,0.00212277
131,3917,0.07348,0.48392,0.26589,0.94406,0.9313,0.96548,0.65584,0.07234,0.42486,0.25862,0.00208333,0.00208333,0.00208333
132,3946.98,0.07377,0.48256,0.26892,0.93078,0.92836,0.96038,0.65739,0.07126,0.41788,0.25909,0.0020439,0.0020439,0.0020439
133,3976.19,0.07322,0.4739,0.26617,0.93497,0.93041,0.96273,0.66118,0.07184,0.42776,0.25829,0.00200446,0.00200446,0.00200446
134,4006.42,0.07177,0.4628,0.26422,0.95768,0.94346,0.9708,0.65959,0.07255,0.401,0.26274,0.00196502,0.00196502,0.00196502
135,4035.4,0.07241,0.47063,0.26763,0.94649,0.91849,0.96395,0.65855,0.07305,0.40348,0.26414,0.00192559,0.00192559,0.00192559
136,4064.72,0.07136,0.46339,0.26427,0.94368,0.94112,0.96428,0.66484,0.07225,0.40776,0.26295,0.00188615,0.00188615,0.00188615
137,4094.75,0.07324,0.47845,0.26856,0.94539,0.92889,0.96024,0.65848,0.07283,0.41412,0.26355,0.00184672,0.00184672,0.00184672
